id,image_url,pin_url_guess,genre,tops_category,tops_color,bottoms_category,bottoms_color,coordinate_review,tops_categorize,bottoms_categorize
1,https://i.pinimg.com/736x/c9/61/92/c96192fc7e225468fbd88137717364ea.jpg,https://jp.pinterest.com/pin/1196337404612941/,office_casual,shirt,brown,low_rise_pants,black,全体はクラシカルで落ち着いた雰囲気。ストライプシャツと無地シャツの2種を想起させ、ゆとりのあるパンツが品よく決まる、現代的な大人カジュアルのコーデで、バッグで表情を変える楽しさも演出。,シャツ ストライプ ワイド ブラウン系,パンツ 無地 ワイド ブラック
2,https://i.pinimg.com/736x/c5/2e/5a/c52e5a74982b2be2d2184511c9f36601.jpg,https://jp.pinterest.com/pin/6755468185806701/,casual,button_up_shirt,gray,unknown,unknown,白Tシャツの上にチェック柄シャツを重ねた、カジュアルで涼しげな印象のコーデ。白と落ち着いた色で統一感があり、適度なゆとりのシルエットでこなれ感も演出。,シャツ チェック 半袖 ワイド ブラウン系/ブルー系/グレー系/バーガンディ系/ネイビー系/ブルーグレー系,なし 無地 - -
3,https://i.pinimg.com/736x/5d/43/86/5d43866b6e0da1445f1c69074f9bd2ba.jpg,https://jp.pinterest.com/pin/fit-inspos-in-2025--1618549864102546/,casual,shirt,black,pants,black,落ち着いたカラーのチェックシャツとゆったりショートパンツのリラックス感あるカジュアル。黒いバッグとサングラスが大人っぽさを引き立て、涼感とこなれ感が両立するコーデ。,シャツ チェック ワイド グレー系,ショートパンツ 無地 ワイド チャコールグレー
4,https://i.pinimg.com/736x/82/71/cf/8271cfeb310341abffdf325e64c4b6f0.jpg,https://jp.pinterest.com/pin/5277724559422140/,casual,shirt,white,harem_pants,black,オーバーサイズのチェックシャツと黒のピンストライプワイドパンツでモード感とリラックス感を両立。白Tとベルトが縦のラインを強調し、全体をシャープにまとめる。,シャツ チェック ワイド グレー,パンツ ピンストライプ ワイド ブラック
5,https://i.pinimg.com/736x/08/9b/b0/089bb01f45308cc6275955be4425798c.jpg,https://jp.pinterest.com/pin/85568461666797872/,korean,t_shirt,gray,jeans,gray,グレーのクルーネックTシャツとダメージ加工のワイドデニムを組み合わせた、リラックス感とエッジを両立させるカジュアルモード。ベルトとネックレスでアクセントを効かせている。,トップス Tシャツ 無地 タイト グレー,パンツ ダメージ ワイド ブルー
6,https://i.pinimg.com/736x/62/99/1a/62991a9b254b0f40e4dcce13aa627919.jpg,https://jp.pinterest.com/pin/10696117860082548/,casual,shirt,black,trousers,black,ブラックのトップスをレイヤーしたオーバーサイズのモード系コーデ。チェック柄シャツの裾をのぞかせ抜け感を作り、パンツはワイドシルエットでゆるく引き締め、ゴールドアクセで洗練を添える。,Tシャツ 無地 ワイド ブラック,パンツ 無地 ワイド ブラック
7,https://i.pinimg.com/736x/c5/e6/6a/c5e66ab05453d7e22952536969341afa.jpg,https://jp.pinterest.com/pin/73816881389932121/,casual,shrug,red,harem_pants,black,リラックス感のあるカジュアルコーデ。赤チェックシャツを主役に、白Tを覗かせるレイヤード感が効いている。黒のワイドパンツで縦のラインを強調し、全体を落ち着かせた印象。,シャツ チェック ワイド レッド,パンツ 無地 ワイド ブラック
8,https://i.pinimg.com/736x/25/3c/d0/253cd02f3568f44c2ce70795006258c7.jpg,https://jp.pinterest.com/pin/20899585766238052/,casual,t_shirt,gray,harem_pants,black,モード寄りの黒×白ボーダーTに黒のワイドパンツを合わせたコーデ。タイトなトップスで腰回りを引き締め、ワイドパンツのドレープが縦長シルエットを強調して洗練された印象。,Tシャツ ボーダー タイト ブラック×ホワイト,パンツ 無地 ワイド ブラック
9,https://i.pinimg.com/736x/f2/be/a9/f2bea986692826bb15e4e23109f95066.jpg,https://jp.pinterest.com/pin/24347654230948525/,casual,button_up_shirt,blue,overalls,black,オーバーサイズのチェックシャツと白インナーの重ね着で、リラックス感とストリート感を両立したコーデ。濃紺×白の落ち着きある配色に黒バッグとクロスネックレスがアクセント。,シャツ チェック ワイド ブルー,デニムパンツ 無地 ワイド ブラック
10,https://i.pinimg.com/736x/75/fc/2b/75fc2bfd447074a1b764575e1fa6d20a.jpg,https://jp.pinterest.com/pin/22729173115716482/,casual,shrug,red,jeans,cyan,ゆるやかなデニムとチェック柄シャツの重ね着で、カジュアルさと機能性を両立した大人の休日スタイル。白インナーで明度を引き上げ、バッグの小物がアクセント。,半袖シャツ チェック ワイド ブラウン,デニムパンツ 無地 ワイド ライトブルー
11,https://i.pinimg.com/736x/4b/d9/72/4bd97237173fa8d01f13860b4c7e9ea4.jpg,https://jp.pinterest.com/pin/11540542794162279/,korean,shirt,brown,culottes,gray,ブラウンのシャツを主役に白のインナーと白系のワイドパンツを合わせ、大判ストールでアクセントを加えたリラックス感と知性を両立させたモードカジュアル。,シャツ 無地 ワイド ブラウン,パンツ 無地 ワイド ベージュ
12,https://i.pinimg.com/736x/ad/c4/c5/adc4c5a18dc3d16b8964c4ab6babf88d.jpg,https://jp.pinterest.com/pin/20336635813080529/,korean,polo_shirt,black,harem_pants,black,落ち着いた冬のリラックスコーデ。ネイビーのオーバーサイズトップスに黒のワイドパンツを合わせ、白シャツとネクタイを覗かせるレイヤードで知的さを演出。,プルオーバー 無地 ワイド ネイビー,ワイドパンツ 無地 ワイド ブラック
13,https://i.pinimg.com/736x/e8/37/67/e83767df2cb0e4090c75a5bcd61acf97.jpg,https://jp.pinterest.com/pin/1407443629585641/,casual,shirt,blue,denim_shorts,black,オーバーサイズのチェックシャツとワイドデニムで作る、リラックス感とストリート感を両立させたカジュアルコーデ。,トップス シャツ チェック ワイド ブルー,ボトムス デニムパンツ 無地 ワイド ネイビー
14,https://i.pinimg.com/736x/82/07/c5/8207c5039939eedfc89c2e5ffa950093.jpg,https://jp.pinterest.com/pin/11540542794172618/,casual,zip_up_hoodie,brown,jeans,black,落ち着きのあるブラウンのフリースパーカーとダークグレーのデニムパンツの組み合わせ。カジュアルさと男らしさを共存させ、白シャツと黒タイの重ね着で清潔感を演出したコーディネート。,フリースパーカー 無地 オーバーサイズ ダークブラウン,デニムパンツ 無地 ワイド ダークグレー
15,https://i.pinimg.com/736x/c2/97/bb/c297bbf4e965ce384f05a41016bf2928.jpg,https://jp.pinterest.com/pin/70437490379255/,korean,coat,red,jeans,black,暖かみのあるブラウンのダウンジャケットとボリューム感のあるデニムで、落ち着きつつ現代的な冬コーデ。黒のニットスカーフが全体を引き締める。,ダウンジャケット 無地 ワイド ブラウン,デニムパンツ 無地 ワイド ダークインディゴ
16,https://i.pinimg.com/736x/a9/aa/06/a9aa06c6a868c1d67967185a9be7297b.jpg,https://jp.pinterest.com/pin/985231164681725/,casual,t_shirt,white,trousers,black,オーバーサイズのTシャツとワイドパンツのリラックス感あるカジュアル。縦ストライプで縦長効果を強め、こなれ感とストリート感を両立した着こなし。,Tシャツ プリント オーバーサイズ グレー,パンツ ピンストライプ ワイド ネイビー
17,https://i.pinimg.com/736x/7f/c3/58/7fc358dfe2cfbe4153efd823e31e069f.jpg,https://jp.pinterest.com/pin/1196337404612938/,casual,bomber_jacket,black,jeans,cyan,全身カジュアルで統一感があり、ジャケットのボリューム感とデニムのワイドな裾が現代的なリラックス感を演出。ブラウンとブラックの対比が立体感を作る。,ジャケット 無地 ワイド ブラウン/ブラック,デニムパンツ 無地 ワイド ブルー
18,https://i.pinimg.com/736x/27/f3/7a/27f37a909bf8b1122a8f620999f2c572.jpg,https://jp.pinterest.com/pin/281543725876669/,casual,shirt,black,denim_shorts,gray,チェックシャツのオーバーサイズ感と太めデニムの組み合わせに、キャップを添えたカジュアルでリラックス感のある着こなし。,シャツ チェック ワイド ブルー,デニムパンツ 無地 ワイド ライトブルー
19,https://i.pinimg.com/736x/5e/2d/73/5e2d732bee4092fe8987bb865a782e21.jpg,https://jp.pinterest.com/pin/26599454045460409/,office_casual,haori,black,harem_pants,black,落ち着きのあるワインレッドのシャツと黒のワイドパンツで、モード寄りのリラックス感と凛とした雰囲気を両立させたコーデ。,シャツ 無地 ワイド ワインレッド,パンツ 無地 ワイド ブラック
20,https://i.pinimg.com/736x/4f/3d/2b/4f3d2b6ec2d237e2e450d7ec07f34cc9.jpg,https://jp.pinterest.com/pin/4503668373358132/,casual,shirt,black,overalls,black,ストリート系のカジュアルを基調に、3人の個性を活かしたミックスコーデ。オーバーサイズ感とデニム・チェックの組み合わせでリラックス感と遊び心を両立させています。,シャツ チェック柄 ワイド ブルー系,デニムショートパンツ デニム ワイド ブルー系
21,https://i.pinimg.com/736x/18/fa/22/18fa2215188779b5dbd87e82e0adcdd1.jpg,https://jp.pinterest.com/pin/4996249582941009/,casual,poncho,brown,skirt,black,全体の印象は夏の日常使いに適したリラックス系カジュアル。ベージュ系とストライプを組み、涼感と動きやすさを両立した着こなしです。,半袖シャツ ストライプ ワイド ホワイト系,ショートパンツ 無地 ワイド ベージュ
22,https://i.pinimg.com/736x/e0/3f/20/e03f20d8b3692e291aff9a7c26bdef38.jpg,https://jp.pinterest.com/pin/15410823721727451/,casual,button_up_shirt,black,jeans,black,全体はダークトーンで統一。チェック柄シャツのゆるさとワイドパンツのボリューム感がモード×リラックスの印象を作り、黒系の靴とバッグが縦のラインを引き締める。アクセは控えめで品よくまとまる。,半袖シャツ チェック柄 ワイド ダークグレー,パンツ 無地 ワイド ブラック
23,https://i.pinimg.com/736x/32/c5/49/32c5499c540cd14be312ec455c73a102.jpg,https://jp.pinterest.com/pin/1900024839022618/,casual,shrug,gray,jeans,blue,全体はヴィンテージとストリートを融合したコーデ。オーバーサイズのパンツとレイヤードが特徴で、シャツ/ベスト/ジャケットの重ね着が映え、ニュートラル×アースカラーで落ち着いた印象。,トップス 柄 ワイド ホワイト系/ベージュ系/ブラウン系,パンツ/スカート 柄 ワイド ベージュ系/ブラック系/ネイビー系/レオパード
24,https://i.pinimg.com/736x/75/11/d1/7511d1811cbe74ed09ec14ec064f8465.jpg,https://jp.pinterest.com/pin/3166662232949333/,casual,vest,red,trousers,black,白Tシャツの上に茶系ニットベストを重ね、黒のワイドパンツで落ち着きとこなれ感を両立させたコーデ。暖かみと上品さが同居する大人っぽい印象。,ニットベスト ケーブル ワイド ブラウン,パンツ 無地 ワイド ブラック
25,https://i.pinimg.com/736x/5f/3f/fb/5f3ffb24acf00cf5880e01227abac302.jpg,https://jp.pinterest.com/pin/15058979999852328/,korean,hoodie,black,jeans,black,黒のオーバーサイズTシャツとチェック柄インナーを重ね、迷彩パンツで野性味と機能性を両立させた、ストリート寄りの現代的コーデ。,オーバーサイズTシャツ ストライプ ワイド ブラック,カーゴパンツ 迷彩 ワイド カーキ
